nohup: ignoring input
2026-03-09 00:29:10 | INFO     | tpe.benchmark | ======================================================================
2026-03-09 00:29:10 | INFO     | tpe.benchmark | Optuna TPE Baseline  |  XGBoost HPO  |  All 18 Datasets  v2.0
2026-03-09 00:29:10 | INFO     | tpe.benchmark | Run ID   : 20260309_002910
2026-03-09 00:29:10 | INFO     | tpe.benchmark | Log file : /mnt/disk1/erdemy/app2scale/hdmr-opt/logs/optuna_tabarena_20260309_002910.log
2026-03-09 00:29:10 | INFO     | tpe.benchmark | ======================================================================
2026-03-09 00:29:10 | INFO     | tpe.benchmark | Configuration:
2026-03-09 00:29:10 | INFO     | tpe.benchmark |   sampler=TPE  trials=200/fold  outer_folds=8  seed=42
2026-03-09 00:29:10 | INFO     | tpe.benchmark |   task_filter=all  datasets=[46928, 46923, 46949, 46952, 46927, 46938, 46940, 46930, 46956, 46963, 46918] (11 total)
2026-03-09 00:29:10 | INFO     | tpe.benchmark | 
2026-03-09 00:29:10 | INFO     | tpe.benchmark | ▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓
2026-03-09 00:29:10 | INFO     | tpe.benchmark |   DATASET: Food_Delivery_Time  (DID=46928)
2026-03-09 00:29:10 | INFO     | tpe.benchmark | ▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓
2026-03-09 00:29:10 | INFO     | openml.config | No config file found at /home/erdemy/.config/openml/config, using default configuration.
2026-03-09 00:29:10 | INFO     | tpe.benchmark | Loading: Food_Delivery_Time  (DID=46928, task=regression) ...
2026-03-09 00:29:10 | INFO     | openml.datasets.dataset | pickle write Food_Delivery_Time
2026-03-09 00:29:10 | INFO     | tpe.benchmark |   Food_Delivery_Time | 45451 x 9 | y mean=26.291  std=9.382
2026-03-09 00:29:10 | INFO     | tpe.benchmark | 
2026-03-09 00:29:10 | INFO     | tpe.benchmark |   ┌─ Food_Delivery_Time  [Optuna-TPE-200]
2026-03-09 00:29:10 | INFO     | tpe.benchmark |   │  task=regression  trials=200/fold

  [Optuna] Food_Delivery_Time Fold 1/8 |                                      | 0/200 [00:00<?]
  [Optuna] Food_Delivery_Time Fold 1/8 |▏                                 | 1/200 [00:06<19:56]
  [Optuna] Food_Delivery_Time Fold 1/8 |         | 1/200 [00:06<19:56], val=0.7883, best=0.7883
  [Optuna] Food_Delivery_Time Fold 1/8 |         | 2/200 [00:06<10:00], val=0.7883, best=0.7883
  [Optuna] Food_Delivery_Time Fold 1/8 |         | 2/200 [00:06<10:00], val=0.7884, best=0.7883
  [Optuna] Food_Delivery_Time Fold 1/8 |▏        | 3/200 [00:10<10:01], val=0.7884, best=0.7883
  [Optuna] Food_Delivery_Time Fold 1/8 |▏        | 3/200 [00:10<10:01], val=0.7897, best=0.7883
  [Optuna] Food_Delivery_Time Fold 1/8 |▏        | 4/200 [00:12<08:51], val=0.7897, best=0.7883
  [Optuna] Food_Delivery_Time Fold 1/8 |▏        | 4/200 [00:12<08:51], val=0.7922, best=0.7883
  [Optuna] Food_Delivery_Time Fold 1/8 |▏        | 5/200 [00:13<07:20], val=0.7922, best=0.7883
  [Optuna] Food_Delivery_Time Fold 1/8 |▏        | 5/200 [00:13<07:20], val=0.7878, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▎        | 6/200 [00:16<07:58], val=0.7878, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▎        | 6/200 [00:16<07:58], val=0.7888, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▎        | 7/200 [00:22<11:11], val=0.7888, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▎        | 7/200 [00:22<11:11], val=0.7887, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▎        | 8/200 [00:24<09:32], val=0.7887, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▎        | 8/200 [00:24<09:32], val=0.7907, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▍        | 9/200 [00:32<15:09], val=0.7907, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▍        | 9/200 [00:32<15:09], val=0.7887, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▍       | 10/200 [00:34<11:56], val=0.7887, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▍       | 10/200 [00:34<11:56], val=0.7898, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▍       | 11/200 [00:35<09:08], val=0.7898, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▍       | 11/200 [00:35<09:08], val=0.7901, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▍       | 12/200 [00:40<10:58], val=0.7901, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▍       | 12/200 [00:40<10:58], val=0.7881, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▌       | 13/200 [00:43<11:04], val=0.7881, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▌       | 13/200 [00:43<11:04], val=0.7887, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▌       | 14/200 [00:44<08:35], val=0.7887, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▌       | 14/200 [00:44<08:35], val=0.7893, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▌       | 15/200 [00:48<09:37], val=0.7893, best=0.7878
  [Optuna] Food_Delivery_Time Fold 1/8 |▌       | 15/200 [00:48<09:37], val=0.7875, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▋       | 16/200 [00:50<08:28], val=0.7875, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▋       | 16/200 [00:50<08:28], val=0.7877, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▋       | 17/200 [00:53<08:17], val=0.7877, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▋       | 17/200 [00:53<08:17], val=0.7882, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▋       | 18/200 [00:57<09:21], val=0.7882, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▋       | 18/200 [00:57<09:21], val=0.7887, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▊       | 19/200 [01:04<12:55], val=0.7887, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▊       | 19/200 [01:04<12:55], val=0.7877, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▊       | 20/200 [01:11<15:32], val=0.7877, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▊       | 20/200 [01:11<15:32], val=0.7876, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▊       | 21/200 [01:17<16:08], val=0.7876, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▊       | 21/200 [01:17<16:08], val=0.7899, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▉       | 22/200 [01:24<17:29], val=0.7899, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▉       | 22/200 [01:24<17:29], val=0.7879, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▉       | 23/200 [01:30<17:52], val=0.7879, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▉       | 23/200 [01:30<17:52], val=0.7889, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▉       | 24/200 [01:34<15:41], val=0.7889, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |▉       | 24/200 [01:34<15:41], val=0.7880, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█       | 25/200 [01:39<15:07], val=0.7880, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█       | 25/200 [01:39<15:07], val=0.7878, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█       | 26/200 [01:45<15:45], val=0.7878, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█       | 26/200 [01:45<15:45], val=0.7888, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█       | 27/200 [01:48<13:42], val=0.7888, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█       | 27/200 [01:48<13:42], val=0.7878, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█       | 28/200 [01:53<13:27], val=0.7878, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█       | 28/200 [01:53<13:27], val=0.7881, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█▏      | 29/200 [02:04<19:12], val=0.7881, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█▏      | 29/200 [02:04<19:12], val=0.7886, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█▏      | 30/200 [02:10<18:26], val=0.7886, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█▏      | 30/200 [02:10<18:26], val=0.7883, best=0.7875
  [Optuna] Food_Delivery_Time Fold 1/8 |█▏      | 31/200 [02:14<16:21], val=0.7883, best=0.7875
