2026-04-15 00:45:27 | INFO     | openml.config | No config file found at /home/erdemy/.config/openml/config, using default configuration.
2026-04-15 00:45:27 | INFO     | openml.datasets.dataset | pickle write QSAR_fish_toxicity
2026-04-15 00:45:27 | DEBUG    | openml.datasets.dataset | Saved dataset 46954: QSAR_fish_toxicity to file /home/erdemy/.cache/openml/org/openml/www/datasets/46954/dataset_46954.pkl.py3
2026-04-15 00:45:27 | DEBUG    | matplotlib | matplotlib data path: /mnt/disk1/erdemy/app2scale/hdmr-opt/hdmr-env/lib/python3.10/site-packages/matplotlib/mpl-data
2026-04-15 00:45:27 | DEBUG    | matplotlib | CONFIGDIR=/home/erdemy/.config/matplotlib
2026-04-15 00:45:27 | DEBUG    | matplotlib | interactive is False
2026-04-15 00:45:27 | DEBUG    | matplotlib | platform is linux
2026-04-15 00:54:21 | INFO     | openml.datasets.dataset | pickle write concrete_compressive_strength
2026-04-15 00:54:21 | DEBUG    | openml.datasets.dataset | Saved dataset 46917: concrete_compressive_strength to file /home/erdemy/.cache/openml/org/openml/www/datasets/46917/dataset_46917.pkl.py3
2026-04-15 01:19:24 | INFO     | openml.datasets.dataset | pickle write healthcare_insurance_expenses
2026-04-15 01:19:24 | DEBUG    | openml.datasets.dataset | Saved dataset 46931: healthcare_insurance_expenses to file /home/erdemy/.cache/openml/org/openml/www/datasets/46931/dataset_46931.pkl.py3
2026-04-15 01:25:04 | INFO     | openml.datasets.dataset | pickle write airfoil_self_noise
2026-04-15 01:25:04 | DEBUG    | openml.datasets.dataset | Saved dataset 46904: airfoil_self_noise to file /home/erdemy/.cache/openml/org/openml/www/datasets/46904/dataset_46904.pkl.py3
2026-04-15 02:59:17 | INFO     | openml.datasets.dataset | pickle write Another-Dataset-on-used-Fiat-500
2026-04-15 02:59:17 | DEBUG    | openml.datasets.dataset | Saved dataset 46907: Another-Dataset-on-used-Fiat-500 to file /home/erdemy/.cache/openml/org/openml/www/datasets/46907/dataset_46907.pkl.py3
2026-04-15 03:15:30 | INFO     | openml.datasets.dataset | pickle write houses
2026-04-15 03:15:30 | DEBUG    | openml.datasets.dataset | Saved dataset 46934: houses to file /home/erdemy/.cache/openml/org/openml/www/datasets/46934/dataset_46934.pkl.py3
2026-04-15 08:10:07 | INFO     | openml.datasets.dataset | pickle write Food_Delivery_Time
2026-04-15 08:10:07 | DEBUG    | openml.datasets.dataset | Saved dataset 46928: Food_Delivery_Time to file /home/erdemy/.cache/openml/org/openml/www/datasets/46928/dataset_46928.pkl.py3
2026-04-15 10:50:50 | INFO     | openml.datasets.dataset | pickle write diamonds
2026-04-15 10:50:50 | DEBUG    | openml.datasets.dataset | Saved dataset 46923: diamonds to file /home/erdemy/.cache/openml/org/openml/www/datasets/46923/dataset_46923.pkl.py3
2026-04-15 14:13:08 | INFO     | openml.datasets.dataset | pickle write physiochemical_protein
2026-04-15 14:13:08 | DEBUG    | openml.datasets.dataset | Saved dataset 46949: physiochemical_protein to file /home/erdemy/.cache/openml/org/openml/www/datasets/46949/dataset_46949.pkl.py3
2026-04-16 19:00:02 | INFO     | openml.datasets.dataset | pickle write qsar-biodeg
2026-04-16 19:00:02 | DEBUG    | openml.datasets.dataset | Saved dataset 46952: qsar-biodeg to file /home/erdemy/.cache/openml/org/openml/www/datasets/46952/dataset_46952.pkl.py3
2026-04-16 19:13:41 | INFO     | openml.datasets.dataset | pickle write Fitness_Club
2026-04-16 19:13:41 | DEBUG    | openml.datasets.dataset | Saved dataset 46927: Fitness_Club to file /home/erdemy/.cache/openml/org/openml/www/datasets/46927/dataset_46927.pkl.py3
2026-04-16 19:17:32 | INFO     | openml.datasets.dataset | pickle write Is-this-a-good-customer
2026-04-16 19:17:32 | DEBUG    | openml.datasets.dataset | Saved dataset 46938: Is-this-a-good-customer to file /home/erdemy/.cache/openml/org/openml/www/datasets/46938/dataset_46938.pkl.py3
2026-04-16 19:21:35 | INFO     | openml.datasets.dataset | pickle write Marketing_Campaign
2026-04-16 19:21:35 | DEBUG    | openml.datasets.dataset | Saved dataset 46940: Marketing_Campaign to file /home/erdemy/.cache/openml/org/openml/www/datasets/46940/dataset_46940.pkl.py3
2026-04-16 19:34:27 | INFO     | openml.datasets.dataset | pickle write hazelnut-spread-contaminant-detection
2026-04-16 19:34:27 | DEBUG    | openml.datasets.dataset | Saved dataset 46930: hazelnut-spread-contaminant-detection to file /home/erdemy/.cache/openml/org/openml/www/datasets/46930/dataset_46930.pkl.py3
2026-04-16 20:12:14 | INFO     | openml.datasets.dataset | pickle write seismic-bumps
2026-04-16 20:12:14 | DEBUG    | openml.datasets.dataset | Saved dataset 46956: seismic-bumps to file /home/erdemy/.cache/openml/org/openml/www/datasets/46956/dataset_46956.pkl.py3
2026-04-16 20:16:38 | INFO     | openml.datasets.dataset | pickle write credit-g
2026-04-16 20:16:38 | DEBUG    | openml.datasets.dataset | Saved dataset 46918: credit-g to file /home/erdemy/.cache/openml/org/openml/www/datasets/46918/dataset_46918.pkl.py3
